,Country,n,Deaths,Longitude,Latitude
0,Afghanistan,369,13,67.709953,33.93911
1,Albania,34,3,20.168331,41.153332
2,Algeria,199,42,1.6596259999999998,28.033886
3,Andorra,43,4,1.6015540000000001,42.546245
4,Angola,7,2,17.873887,-11.202691999999999
5,Anguilla,2,0,-63.068615,18.220554
6,Antigua_and_Barbuda,6,2,-61.796428000000006,17.060816
7,Argentina,529,18,-63.616671999999994,-38.416097
8,Armenia,180,4,45.038189,40.069099
9,Aruba,22,1,-69.968338,12.52111
10,Australia,611,7,133.775136,-25.274398
11,Austria,1141,31,14.550072,47.516231
12,Azerbaijan,143,3,47.576927000000005,40.143105
13,Bahamas,6,2,-77.39628,25.03428
14,Bahrain,330,1,50.637772,25.930414000000003
15,Bangladesh,1162,19,90.35633100000001,23.684994
16,Barbados,11,1,-59.543198,13.193887
17,Belarus,1485,7,27.953389,53.709807
18,Belgium,2454,496,4.469936,50.503887
19,Belize,4,1,-88.49765,17.189877
20,Benin,102,1,2.315834,9.30769
21,Bermuda,24,2,-64.75737,32.321384
22,Bhutan,4,0,90.433601,27.514162
23,Bolivia,275,14,-63.588653,-16.290154
"24,""Bonaire, Saint Eustatius and Saba"",2,0,18.49041,-22.957639999999998"
25,Bosnia_and_Herzegovina,101,10,17.679076000000002,43.915886
26,Botswana,6,1,24.684866,-22.328474
27,Brazil,11385,881,-51.92528,-14.235004
28,British_Virgin_Islands,2,1,-64.63996800000001,18.420695000000002
29,Brunei_Darussalam,14,1,114.72766899999999,4.535277
30,Bulgaria,91,6,25.48583,42.733883
31,Burkina_Faso,43,6,-1.561593,12.238333
32,Burundi,8,1,29.918885999999997,-3.3730559999999996
33,Cambodia,35,0,104.990963,12.565679
34,Cameroon,305,44,12.354722,7.369722
35,Canada,2760,207,-106.34677099999999,56.130366
36,Cape_Verde,44,1,-24.013197,16.002082
37,Cases_on_an_international_conveyance_Japan,134,2,18.49041,-22.957639999999998
38,Cayman_Islands,8,1,-80.566956,19.513469
39,Central_African_Republic,49,0,20.939444,6.611111
40,Chad,83,10,18.732207,15.454166
41,Chile,2660,13,-71.542969,-35.675146999999996
42,China,15141,1290,104.195397,35.86166
43,Colombia,659,21,-74.297333,4.570868
44,Comoros,6,1,43.872219,-11.875001
45,Congo,46,2,15.827658999999999,-0.228021
46,Costa_Rica,37,2,-83.753428,9.748917
47,Cote_dIvoire,127,3,-5.54708,7.539989
48,Croatia,96,8,15.2,45.1
49,Cuba,74,6,-77.78116700000001,21.521757
