,country,code,n,n1,Latitude,Longitude
0,Afghanistan,AFG,5226,130,33.93911,67.709953
1,Albania,ALB,880,31,41.153332,20.168331
2,Algeria,DZA,6253,522,28.033886,1.6596259999999998
3,Andorra,AND,760,49,42.546245,1.6015540000000001
4,Angola,AGO,45,2,-11.202691999999999,17.873887
5,Anguilla,,3,0,18.220554,-63.068615
6,Antigua_and_Barbuda,ATG,25,3,17.060816,-61.796428000000006
7,Argentina,ARG,6866,329,-38.416097,-63.616671999999994
8,Armenia,ARM,3718,48,40.069099,45.038189
9,Aruba,ABW,101,3,12.52111,-69.968338
10,Australia,AUS,6975,98,-25.274398,133.775136
11,Austria,AUT,15964,624,47.516231,14.550072
12,Azerbaijan,AZE,2758,35,40.143105,47.576927000000005
13,Bahamas,BHS,94,11,25.03428,-77.39628
14,Bahrain,BHR,5816,10,25.930414000000003,50.637772
15,Bangladesh,BGD,17822,269,23.684994,90.35633100000001
16,Barbados,BRB,85,7,13.193887,-59.543198
17,Belarus,BLR,25825,146,53.709807,27.953389
18,Belgium,BEL,53981,8843,50.503887,4.469936
19,Belize,BLZ,18,2,17.189877,-88.49765
20,Benin,BEN,327,2,9.30769,2.315834
21,Bermuda,BMU,121,8,32.321384,-64.75737
22,Bhutan,BTN,15,0,27.514162,90.433601
23,Bolivia,BOL,3148,142,-16.290154,-63.588653
24,"Bonaire, Saint Eustatius and Saba",,6,0,-22.957639999999998,18.49041
25,Bosnia_and_Herzegovina,BIH,2181,120,43.915886,17.679076000000002
26,Botswana,BWA,24,1,-22.328474,24.684866
27,Brazil,BRA,188974,13149,-14.235004,-51.92528
28,British_Virgin_Islands,VGB,7,1,18.420695000000002,-64.63996800000001
29,Brunei_Darussalam,BRN,141,1,4.535277,114.72766899999999
30,Bulgaria,BGR,2069,96,42.733883,25.48583
31,Burkina_Faso,BFA,773,51,12.238333,-1.561593
32,Burundi,BDI,27,1,-3.3730559999999996,29.918885999999997
33,Cambodia,KHM,122,0,12.565679,104.990963
34,Cameroon,CMR,2800,136,7.369722,12.354722
35,Canada,CAN,72278,5304,56.130366,-106.34677099999999
36,Cape_Verde,CPV,289,2,16.002082,-24.013197
37,Cases_on_an_international_conveyance_Japan,,696,7,-22.957639999999998,18.49041
38,Cayman_Islands,CYM,85,1,19.513469,-80.566956
39,Central_African_Republic,CAF,197,0,6.611111,20.939444
40,Chad,TCD,372,42,15.454166,18.732207
41,Chile,CHL,34381,346,-35.675146999999996,-71.542969
42,China,CHN,84024,4637,35.86166,104.195397
43,Colombia,COL,12930,509,4.570868,-74.297333
44,Comoros,COM,17,1,-11.875001,43.872219
45,Congo,COG,341,11,-0.228021,15.827658999999999
46,Costa_Rica,CRI,815,7,9.748917,-83.753428
47,Cote_dIvoire,CIV,1912,24,7.539989,-5.54708
48,Croatia,HRV,2213,94,45.1,15.2
49,Cuba,CUB,1810,79,21.521757,-77.78116700000001
50,Cyprus,CYP,905,17,35.126413,33.429859
51,Czechia,CZE,8269,290,49.817492,15.472961999999999
52,Democratic_Republic_of_the_Congo,COD,1242,50,-4.038333000000001,21.758664000000003
53,Denmark,DNK,10667,533,56.26392,9.501785
54,Djibouti,DJI,1268,3,11.825138,42.590275
55,Dominica,DMA,16,0,15.414999,-61.370976
56,Dominican_Republic,DOM,11196,409,18.735692999999998,-70.162651
57,Ecuador,ECU,30486,2334,-1.8312389999999998,-78.183406
58,Egypt,EGY,10431,556,26.820553000000004,30.802497999999996
59,El_Salvador,SLV,1112,20,13.794185,-88.89653
60,Equatorial_Guinea,GNQ,522,6,1.6508009999999997,10.267895
61,Eritrea,ERI,39,0,15.179383999999999,39.782334000000006
62,Estonia,EST,1751,61,58.595271999999994,25.013607
63,Eswatini,SWZ,187,2,-26.522503000000004,31.465866
64,Ethiopia,ETH,263,5,9.145,40.489672999999996
65,Falkland_Islands_(Malvinas),,13,0,-51.796253,-59.523613
66,Faroe_Islands,FRO,187,0,61.892635,-6.9118059999999995
67,Fiji,FJI,18,0,-16.578193,179.414413
68,Finland,FIN,6054,284,61.92411,25.748151
69,France,FRA,140734,27074,46.227638,2.213749
70,French_Polynesia,PYF,60,0,-17.679742,-149.40684299999998
71,Gabon,GAB,1004,9,-0.803689,11.609444
72,Gambia,GMB,23,1,13.443182,-15.310139000000001
73,Georgia,GEO,647,11,42.315407,43.356891999999995
74,Germany,DEU,172239,7723,51.165690999999995,10.451526
75,Ghana,GHA,5408,24,7.946527000000001,-1.0231940000000002
76,Gibraltar,GIB,147,0,36.137741,-5.345374
77,Greece,GRC,2760,155,39.074208,21.824312
78,Greenland,GRL,11,0,71.706936,-42.604303
79,Grenada,GRD,21,0,12.262775999999999,-61.604170999999994
80,Guam,GUM,152,5,13.444304,144.793731
81,Guatemala,GTM,1342,29,15.783470999999999,-90.23075899999999
82,Guernsey,GGY,252,13,49.465691,-2.5852779999999997
83,Guinea,GIN,2374,14,9.945587,-9.696645
84,Guinea_Bissau,GNB,820,3,11.803749,-15.180413
85,Guyana,GUY,113,10,4.860416000000001,-58.93018000000001
86,Haiti,HTI,234,18,18.971187,-72.28521500000001
